,Triage,Features,History_days,Weather_avg_h,Model,Parameters,NumTrgSamples,NumTestSamples,TrainAcc,TestAcc,Precision,Recall,F1,TP,TN,FP,FN,ImprOverMajTest,ImprOverMajTrain
71,spo2_Triage,Weather & History,4,8,LR,l2-600,2673,296,0.909397044855295,0.9080455455455455,0.4,0.03806317485196796,0.06894276617102704,1.1,268.7,1.1,26.0,-0.0006745381745382195,0.0006736106910758544
72,spo2_Triage,Weather & History,4,8,LR,l2-6e-05,2673,296,0.9087234341642192,0.9087200837200837,0.0,0.0,0.0,0.0,269.8,0.0,27.1,0.0,0.0
73,spo2_Triage,Weather & History,4,8,LR,l2-6e-06,2673,296,0.9087234341642192,0.9087200837200837,0.0,0.0,0.0,0.0,269.8,0.0,27.1,0.0,0.0
74,spo2_Triage,Weather & History,4,8,RF,10-10-None,2673,296,0.9559896200864266,0.9006358631358632,0.36944444444444446,0.11260865013020187,0.16647953174767013,3.1,265.3,4.5,24.0,-0.008084220584220536,0.04726618592220744
75,spo2_Triage,Weather & History,4,8,RF,10-10-auto,2673,296,0.9422924913360708,0.9066987441987442,0.4280952380952382,0.08757898152294705,0.14398860398860397,2.3,267.8,2.0,24.8,-0.002021339521339538,0.03356905717185166
76,spo2_Triage,Weather & History,4,8,RF,10-10-log2,2673,296,0.9422924913360708,0.9066987441987442,0.4280952380952382,0.08757898152294705,0.14398860398860397,2.3,267.8,2.0,24.8,-0.002021339521339538,0.03356905717185166
77,spo2_Triage,Weather & History,4,8,RF,10-2-None,2673,296,0.9101080946972498,0.9093934843934844,0.3,0.010995370370370369,0.021203463203463203,0.3,269.8,0.0,26.8,0.0006734006734007147,0.0013846605330306572
78,spo2_Triage,Weather & History,4,8,RF,10-2-auto,2673,296,0.9087982844636203,0.9083833833833834,0.0,0.0,0.0,0.0,269.7,0.1,27.1,-0.00033670033670030186,7.48502994011302e-05
79,spo2_Triage,Weather & History,4,8,RF,10-2-log2,2673,296,0.9087982844636203,0.9083833833833834,0.0,0.0,0.0,0.0,269.7,0.1,27.1,-0.00033670033670030186,7.48502994011302e-05
80,spo2_Triage,Weather & History,4,8,RF,10-3-None,2673,296,0.9137007690567239,0.9073744198744198,0.35,0.025038884327677435,0.04560678026151172,0.7,268.9,0.9,26.4,-0.0013456638456639247,0.004977334892504737
81,spo2_Triage,Weather & History,4,8,RF,10-3-auto,2673,296,0.9095841846049764,0.9077099827099827,0.15,0.007614942528735633,0.014451612903225806,0.2,269.5,0.3,26.9,-0.0010101010101010166,0.0008607504407571742
82,spo2_Triage,Weather & History,4,8,RF,10-3-log2,2673,296,0.9095841846049764,0.9077099827099827,0.15,0.007614942528735633,0.014451612903225806,0.2,269.5,0.3,26.9,-0.0010101010101010166,0.0008607504407571742
83,spo2_Triage,Weather & History,4,8,RF,10-4-None,2673,296,0.92084879063422,0.9056886431886431,0.40499999999999997,0.04542578908958219,0.07925645737410444,1.3,268.1,1.7,25.8,-0.0030314405314406656,0.012125356470000792
84,spo2_Triage,Weather & History,4,8,RF,10-4-auto,2673,296,0.9123161225248717,0.9083833833833834,0.2,0.006573275862068966,0.012727272727272726,0.2,269.6,0.2,26.9,-0.00033670033670030186,0.0035926883606525184
85,spo2_Triage,Weather & History,4,8,RF,10-4-log2,2673,296,0.9123161225248717,0.9083833833833834,0.2,0.006573275862068966,0.012727272727272726,0.2,269.6,0.2,26.9,-0.00033670033670030186,0.0035926883606525184
86,spo2_Triage,Weather & History,4,8,RF,10-5-None,2673,296,0.9272107160538632,0.9066987441987442,0.49444444444444446,0.08466632664908527,0.13785367264314632,2.4,267.3,2.5,24.7,-0.002021339521339538,0.01848728188964399
87,spo2_Triage,Weather & History,4,8,RF,10-5-auto,2673,296,0.9171812379729877,0.9097313222313221,0.5166666666666667,0.04534973088852399,0.08127890055809966,1.2,269.2,0.6,25.9,0.0010112385112384104,0.008457803808768483
88,spo2_Triage,Weather & History,4,8,RF,10-5-log2,2673,296,0.9171812379729877,0.9097313222313221,0.5166666666666667,0.04534973088852399,0.08127890055809966,1.2,269.2,0.6,25.9,0.0010112385112384104,0.008457803808768483
89,spo2_Triage,Weather & History,4,8,RF,10-None-None,2673,296,0.9910931223971808,0.877058877058877,0.23056743909685085,0.1456710267701647,0.17602175163150774,4.0,258.5,11.3,23.1,-0.03166120666120675,0.08236968823296165
90,spo2_Triage,Weather & History,4,8,RF,10-None-auto,2673,296,0.9775831193953282,0.9009737009737009,0.32333333333333336,0.09053772536531157,0.13927107871659686,2.4,265.9,3.9,24.7,-0.0077463827463828405,0.06885968523110897
91,spo2_Triage,Weather & History,4,8,RF,10-None-log2,2673,296,0.9775831193953282,0.9009737009737009,0.32333333333333336,0.09053772536531157,0.13927107871659686,2.4,265.9,3.9,24.7,-0.0077463827463828405,0.06885968523110897
92,spo2_Triage,Weather & History,4,8,RF,100-10-None,2673,296,0.9910931223971808,0.8841307216307216,0.24145900667959488,0.11487144640161881,0.1533581219722102,3.2,260.7,9.1,23.9,-0.024589362089362132,0.08236968823296165
93,spo2_Triage,Weather & History,4,8,RF,100-10-auto,2673,296,0.9435649604270695,0.9066998816998817,0.36666666666666664,0.047786402613988824,0.0840126236565865,1.3,268.3,1.5,25.8,-0.002020202020202033,0.03484152626285031
94,spo2_Triage,Weather & History,4,8,RF,100-10-log2,2673,296,0.9435649604270695,0.9066998816998817,0.36666666666666664,0.047786402613988824,0.0840126236565865,1.3,268.3,1.5,25.8,-0.002020202020202033,0.03484152626285031
95,spo2_Triage,Weather & History,4,8,RF,100-2-None,2673,296,0.9181541798557766,0.9050141050141048,0.4671428571428571,0.07679253537012157,0.12954103206734785,2.1,267.2,2.6,25.0,-0.003705978705978885,0.00943074569155744
96,spo2_Triage,Weather & History,4,8,RF,100-2-auto,2673,296,0.9087234341642192,0.9087200837200837,0.0,0.0,0.0,0.0,269.8,0.0,27.1,0.0,0.0
97,spo2_Triage,Weather & History,4,8,RF,100-2-log2,2673,296,0.9087234341642192,0.9087200837200837,0.0,0.0,0.0,0.0,269.8,0.0,27.1,0.0,0.0
98,spo2_Triage,Weather & History,4,8,RF,100-3-None,2673,296,0.9336476597870478,0.9033294658294659,0.43178571428571433,0.10297409646547577,0.16069667152831452,2.8,266.1,3.7,24.3,-0.005390617890617788,0.02492422562282859
99,spo2_Triage,Weather & History,4,8,RF,100-3-auto,2673,296,0.9091350688073909,0.9083833833833834,0.0,0.0,0.0,0.0,269.7,0.1,27.1,-0.00033670033670030186,0.00041163464317173215
100,spo2_Triage,Weather & History,4,8,RF,100-3-log2,2673,296,0.9091350688073909,0.9083833833833834,0.0,0.0,0.0,0.0,269.7,0.1,27.1,-0.00033670033670030186,0.00041163464317173215
101,spo2_Triage,Weather & History,4,8,RF,100-4-None,2673,296,0.9534447659114991,0.9006347256347256,0.4357967032967033,0.11758789661806904,0.1787976046759708,3.2,265.6,4.2,23.9,-0.008085358085358152,0.04472133174727988
102,spo2_Triage,Weather & History,4,8,RF,100-4-auto,2673,296,0.9123909868254513,0.9083811083811083,0.35,0.018882275132275132,0.03560321519912312,0.5,269.4,0.4,26.6,-0.0003389753389754224,0.0036675526612320875
103,spo2_Triage,Weather & History,4,8,RF,100-4-log2,2673,296,0.9123909868254513,0.9083811083811083,0.35,0.018882275132275132,0.03560321519912312,0.5,269.4,0.4,26.6,-0.0003389753389754224,0.0036675526612320875
104,spo2_Triage,Weather & History,4,8,RF,100-5-None,2673,296,0.9697990802905971,0.8949096824096824,0.33558941058941055,0.1358832578660165,0.1906525248692574,3.7,263.6,6.2,23.4,-0.013810401310401343,0.06107564612637795
105,spo2_Triage,Weather & History,4,8,RF,100-5-auto,2673,296,0.915646792834085,0.9090556465556465,0.4833333333333333,0.02936758803138113,0.05501198588709292,0.8,269.3,0.5,26.3,0.0003355628355627971,0.00692335866986582
106,spo2_Triage,Weather & History,4,8,RF,100-5-log2,2673,296,0.915646792834085,0.9090556465556465,0.4833333333333333,0.02936758803138113,0.05501198588709292,0.8,269.3,0.5,26.3,0.0003355628355627971,0.00692335866986582
107,spo2_Triage,Weather & History,4,8,RF,100-None-None,2673,296,0.9910931223971808,0.8807580307580307,0.2934520866317542,0.19169796279710072,0.22847181598360114,5.3,258.6,11.2,21.8,-0.027962052962053008,0.08236968823296165
108,spo2_Triage,Weather & History,4,8,RF,100-None-auto,2673,296,0.990943435799557,0.8999624624624625,0.3319047619047619,0.07520213423230665,0.12012320818355302,2.0,265.8,4.0,25.1,-0.008757621257621251,0.08222000163533782
